,AGSTATS_ID,Action,Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD
87,73,ok,FAO,FAO,FAO,Timor-Leste,National,Asia & Pacific,2012,2015,"331,000",Establishing a sustainable National Information and Early Warning System  (NIEWS) on Food Security in Timor-Leste,Information System ,1,TCP/TIM/3402,NA,0
106,74,ok,"FAO, PRESS",Turkey,FAO,"Turkey, Tajikistan, Kyrgyz Republic",Global,Global,2013,2016,"330,000",Strengthening national capacities for production and analysis of sex-disaggregated data through the implementation of the FAO Gender and Agriculture Framework (GASF),Capacity Development ,1,GCP /SEC/008/TUR,NA,0
13,75,ok,"FAO, PRESS",FAO,FAO,Chad,National,Africa,2013,2015,"327,000",Assistance preparatoire au Recensement General de l`Agriculture (RGA) et au Recensement General de l`Elevage (RGE),Data Collection,1,TCP/CHD/3402,NA,0
2,76,ok,FAO,FAO,FAO,Angola,National,Africa,2014,2016,"278,000",Projet Pilote d`Assistance Preparatoire au Recensement General Agricole en Angola,Data Collection,1,TCP/ANG/3502,NA,0
,77,ok,FAO,Ireland,FAO,Tanzania,National,Africa,2015,2017,"273,517",Support to the Implementation of ASSP: Improving district level data using Small Area Estimates,Capacity Development,1,GCP /URT/145/IRE,NA,0
125,78,ok,FAO,FAO,FAO,Peru,National,LAC,2013,2015,"264,000",Asistencia Tecnica para la Preparacion y Realizacion del IV Censo Nacional Agropecuario,Data Collection,1,TCP/PER/3402,NA,0
8,79,ok,FAO,UNECA,FAO,"Cameroon, Gambia, Zimbabwe",Regional,Africa,2015,2015,"260,000","Establishment of a monitoring system for food market prices in Cameroon, Gambia and Zimbabwe",Information System,1,UNJP/GLO/610/ECA,NA,0
,80,added 07/03,FAO,FAO,FAO,Somalia,National,Africa,2014,2016,"250,000",Somaliland Fishermen and Fleet Registration,Information System,1,OSRO/SOM/417/CPF,NA,0
32,81,ok,FAO,FAO,FAO,Morocco,National,Africa,2015,2017,"245,000",Appui a la preparation du Recensement General de l'Agriculture (RGA),Data Collection,1,TCP/MOR/3503,NA,0
,82,ok,FAO,FAO,FAO,Fiji,National,Asia & Pacific,2015,2017,"217,000",Development of Agricultural Information for Policy,Information System,1,TCP/FIJ/3503,NA,0
31,83,ok,FAO,FAO,FAO,Mauritius,National,Africa,2014,2015,"204,000",Support to Census of Agriculture in Mauritius,Data Collection,1,TCP/MAR/3403,NA,0
97,84,ok,PRESS,World Bank,FAO,Armenia,National,CIS,2013,2015,"200,000",Statistical Capacity Building and Implementation Support for Armenia's Pilot Agricultural Census ,Data Collection,1,,NA,0
121,85,ok,FAO,FAO,FAO,Guatemala,National,LAC,2015,2017,"188,000",Programa de apoyo a Guatemala para mejorar sus istemat estadistico agropecuario y de seguridad alimentaria,Information System,1,TCP/GUA/3505,NA,0
46,86,ok,FAO,FAO,FAO,Tanzania,National,Africa,2015,2017,"123,000",Support to the Implementation of Agriculture Statistics Strategic Plan: Improving district level data using Small Area Estimates methods- ZANZIBAR,Capacity Development,1,TCP/URT/3505,NA,0
122,87,ok,FAO,FAO,FAO,Guyana,National,LAC,2013,2015,"121,000",Support for the enhancement of the National Agriculture Market Information System in Guyana,Capacity Development,1,TCP/GUY/3402,NA,0
116,88,ok,FAO,FAO,FAO,Colombia,National,LAC,2012,2015,"118,000","Asistencia Tecnica al Gobierno Nacional de Colombia para la transferencia de la metodologia, estimacion y medicion del Indicador de Subnutricion",Capacity Development,1,TCP/COL/3402,NA,0
,89,ok,FAO,FAO,FAO,Angola,National,Africa,2015,2016,"116,830",Services d`assistance technique de la FAO pour la préparation du Recensement Général de l`Agriculture et de l`Elevage (RGAE),Data Collection,1,UTF /ANG/057/ANG,NA,0
58,90,ok,FAO,FAO,FAO,Bangladesh,National,Asia & Pacific,2015,2015,"76,000","Initial support to develop an Integrated Framework for Census (es) for Crop, Livestock and Fishery sector",Data Collection,1,TCP/BGD/3502 BABY02,1,0
24,91,ok,FAO,FAO,FAO,Equatorial Guinea,National,Africa,2015,2015,"70,188","Appui pour la preparation et le suivi du Recensement de la population et de l'habitat, du recensement de l'Agriculture et de l'enquête population active, formation et emploi de Guinee Equatoriale",Data Collection,1,TCP/EQG/3501 BABY02,1,0
71,92,ok,FAO,FAO,FAO,Kiribati,National,Asia & Pacific,2013,2015,"69,284",Strengthened statistical capacity to collect and analyze food and agricultural  data in Kiribati,Capacity Development,1,TCP/KIR/3401 BABY01,1,0
37,93,ok,FAO,FAO,FAO,Rwanda,National,Africa,2015,2015,"68,681",Technical support to NISR for the establishment of a Food Balance Sheet system in Rwanda,Capacity Development,1,TCP/RWA/3501 BABY03,1,0
118,94,ok,FAO,FAO,FAO,Dominican Republic,National,LAC,2014,2015,"65,000",Asistencia tecnica para apoyar la realizacion de un Pre censo en el marco del VIII Censo Nacional Agropecuario,Data Collection,1,TCP/DOM/3501 BABY04,1,0
